fecha_minuto,Barra,CMg(USD/MWh)
2025-09-08 00:00,TARAPACA______220,"69,92"
2025-09-08 00:00,QUILLOTA______220,"67,33"
2025-09-08 00:00,P.AZUCAR______220,"66,78"
2025-09-08 00:00,CARDONES______220,"65,73"
2025-09-08 00:00,CRUCERO_______220,"65,59"
2025-09-08 00:00,ATACAMA_______220,"65,50"
2025-09-08 00:00,CHARRUA_______220,"64,96"
2025-09-08 00:00,P.MONTT_______220,"59,26"
2025-09-08 00:15,TARAPACA______220,"71,07"
2025-09-08 00:15,QUILLOTA______220,"67,33"
2025-09-08 00:15,ATACAMA_______220,"67,18"
2025-09-08 00:15,P.AZUCAR______220,"67,00"
2025-09-08 00:15,CRUCERO_______220,"66,61"
2025-09-08 00:15,CARDONES______220,"66,17"
2025-09-08 00:15,CHARRUA_______220,"65,01"
2025-09-08 00:15,P.MONTT_______220,"58,73"
2025-09-08 00:30,TARAPACA______220,"71,63"
2025-09-08 00:30,ATACAMA_______220,"67,68"
2025-09-08 00:30,QUILLOTA______220,"67,33"
2025-09-08 00:30,CRUCERO_______220,"67,11"
2025-09-08 00:30,P.AZUCAR______220,"67,11"
2025-09-08 00:30,CARDONES______220,"66,39"
2025-09-08 00:30,CHARRUA_______220,"65,06"
2025-09-08 00:30,P.MONTT_______220,"59,59"
2025-09-08 00:45,TARAPACA______220,"69,02"
2025-09-08 00:45,ATACAMA_______220,"65,06"
2025-09-08 00:45,CRUCERO_______220,"64,55"
2025-09-08 00:45,QUILLOTA______220,"64,15"
2025-09-08 00:45,P.AZUCAR______220,"64,09"
2025-09-08 00:45,CARDONES______220,"63,54"
2025-09-08 00:45,CHARRUA_______220,"62,06"
2025-09-08 00:45,P.MONTT_______220,"56,37"
2025-09-08 01:00,TARAPACA______220,"69,27"
2025-09-08 01:00,ATACAMA_______220,"64,99"
2025-09-08 01:00,CRUCERO_______220,"64,64"
2025-09-08 01:00,P.AZUCAR______220,"63,96"
2025-09-08 01:00,QUILLOTA______220,"63,92"
2025-09-08 01:00,CARDONES______220,"63,47"
2025-09-08 01:00,CHARRUA_______220,"61,26"
2025-09-08 01:00,P.MONTT_______220,"54,10"
2025-09-08 01:15,TARAPACA______220,"67,69"
2025-09-08 01:15,ATACAMA_______220,"62,97"
2025-09-08 01:15,CRUCERO_______220,"62,75"
2025-09-08 01:15,P.AZUCAR______220,"61,10"
2025-09-08 01:15,CARDONES______220,"60,89"
2025-09-08 01:15,QUILLOTA______220,"60,78"
2025-09-08 01:15,CHARRUA_______220,"57,99"
2025-09-08 01:15,P.MONTT_______220,"49,76"
2025-09-08 01:30,TARAPACA______220,"67,01"
2025-09-08 01:30,ATACAMA_______220,"62,49"
2025-09-08 01:30,CRUCERO_______220,"62,24"
2025-09-08 01:30,P.AZUCAR______220,"60,42"
2025-09-08 01:30,CARDONES______220,"60,30"
2025-09-08 01:30,QUILLOTA______220,"59,99"
2025-09-08 01:30,CHARRUA_______220,"57,39"
2025-09-08 01:30,P.MONTT_______220,"48,61"
2025-09-08 01:45,TARAPACA______220,"67,39"
2025-09-08 01:45,ATACAMA_______220,"63,01"
2025-09-08 01:45,CRUCERO_______220,"62,74"
2025-09-08 01:45,CARDONES______220,"60,60"
2025-09-08 01:45,P.AZUCAR______220,"60,59"
2025-09-08 01:45,QUILLOTA______220,"59,99"
2025-09-08 01:45,CHARRUA_______220,"57,35"
2025-09-08 01:45,P.MONTT_______220,"48,37"
2025-09-08 02:00,TARAPACA______220,"67,80"
2025-09-08 02:00,ATACAMA_______220,"63,51"
2025-09-08 02:00,CRUCERO_______220,"63,11"
2025-09-08 02:00,CARDONES______220,"60,89"
2025-09-08 02:00,P.AZUCAR______220,"60,76"
2025-09-08 02:00,QUILLOTA______220,"59,99"
2025-09-08 02:00,CHARRUA_______220,"57,45"
2025-09-08 02:00,P.MONTT_______220,"50,58"
2025-09-08 02:15,TARAPACA______220,"68,54"
2025-09-08 02:15,ATACAMA_______220,"63,90"
2025-09-08 02:15,CRUCERO_______220,"63,50"
2025-09-08 02:15,CARDONES______220,"61,09"
2025-09-08 02:15,P.AZUCAR______220,"60,89"
2025-09-08 02:15,QUILLOTA______220,"59,99"
2025-09-08 02:15,CHARRUA_______220,"57,43"
2025-09-08 02:15,P.MONTT_______220,"50,10"
2025-09-08 02:30,TARAPACA______220,"69,05"
2025-09-08 02:30,ATACAMA_______220,"64,38"
2025-09-08 02:30,CRUCERO_______220,"63,98"
2025-09-08 02:30,CARDONES______220,"61,33"
2025-09-08 02:30,P.AZUCAR______220,"61,02"
2025-09-08 02:30,QUILLOTA______220,"59,99"
2025-09-08 02:30,CHARRUA_______220,"57,31"
2025-09-08 02:30,P.MONTT_______220,"50,16"
2025-09-08 02:45,TARAPACA______220,"67,50"
2025-09-08 02:45,ATACAMA_______220,"63,50"
2025-09-08 02:45,CRUCERO_______220,"62,89"
2025-09-08 02:45,CARDONES______220,"61,23"
2025-09-08 02:45,P.AZUCAR______220,"60,98"
2025-09-08 02:45,QUILLOTA______220,"59,99"
2025-09-08 02:45,CHARRUA_______220,"57,42"
2025-09-08 02:45,P.MONTT_______220,"50,65"
2025-09-08 03:00,TARAPACA______220,"66,74"
2025-09-08 03:00,ATACAMA_______220,"62,86"
2025-09-08 03:00,CRUCERO_______220,"62,13"
2025-09-08 03:00,CARDONES______220,"60,93"
2025-09-08 03:00,P.AZUCAR______220,"60,81"
2025-09-08 03:00,QUILLOTA______220,"59,99"
2025-09-08 03:00,CHARRUA_______220,"57,71"
2025-09-08 03:00,P.MONTT_______220,"50,12"
2025-09-08 03:15,TARAPACA______220,"66,30"
2025-09-08 03:15,ATACAMA_______220,"62,51"
2025-09-08 03:15,CRUCERO_______220,"61,78"
