Fecha Hora,Barra,Costo Marginal [USD/MWh]
2025-11-17 00:00:00.000000,Tarapaca220,83.4
2025-11-17 00:00:00.000000,Crucero220,79.2
2025-11-17 00:00:00.000000,Atacama220_BP1,75.0
2025-11-17 00:00:00.000000,Quillota220,64.2
2025-11-17 00:00:00.000000,Cardones220,63.9
2025-11-17 00:00:00.000000,PAzucar220,62.7
2025-11-17 00:00:00.000000,Charrua220,61.0
2025-11-17 00:00:00.000000,PMontt220,22.6
2025-11-17 01:00:00.000000,Tarapaca220,83.2
2025-11-17 01:00:00.000000,Crucero220,79.0
2025-11-17 01:00:00.000000,Atacama220_BP1,74.9
2025-11-17 01:00:00.000000,Cardones220,63.4
2025-11-17 01:00:00.000000,Quillota220,62.9
2025-11-17 01:00:00.000000,PAzucar220,62.0
2025-11-17 01:00:00.000000,Charrua220,59.7
2025-11-17 01:00:00.000000,PMontt220,21.4
2025-11-17 02:00:00.000000,Tarapaca220,79.9
2025-11-17 02:00:00.000000,Crucero220,76.2
2025-11-17 02:00:00.000000,Atacama220_BP1,73.0
2025-11-17 02:00:00.000000,Cardones220,63.5
2025-11-17 02:00:00.000000,Quillota220,62.6
2025-11-17 02:00:00.000000,PAzucar220,62.1
2025-11-17 02:00:00.000000,Charrua220,59.4
2025-11-17 02:00:00.000000,PMontt220,18.5
2025-11-17 03:00:00.000000,Tarapaca220,80.0
2025-11-17 03:00:00.000000,Crucero220,76.4
2025-11-17 03:00:00.000000,Atacama220_BP1,73.4
2025-11-17 03:00:00.000000,Cardones220,64.4
2025-11-17 03:00:00.000000,Quillota220,63.3
2025-11-17 03:00:00.000000,PAzucar220,63.0
2025-11-17 03:00:00.000000,Charrua220,60.0
2025-11-17 03:00:00.000000,PMontt220,18.5
2025-11-17 04:00:00.000000,Tarapaca220,79.7
2025-11-17 04:00:00.000000,Crucero220,76.2
2025-11-17 04:00:00.000000,Atacama220_BP1,73.0
2025-11-17 04:00:00.000000,Cardones220,64.4
2025-11-17 04:00:00.000000,Quillota220,63.3
2025-11-17 04:00:00.000000,PAzucar220,63.0
2025-11-17 04:00:00.000000,Charrua220,60.1
2025-11-17 04:00:00.000000,PMontt220,18.5
2025-11-17 05:00:00.000000,Tarapaca220,78.9
2025-11-17 05:00:00.000000,Crucero220,75.4
2025-11-17 05:00:00.000000,Atacama220_BP1,72.3
2025-11-17 05:00:00.000000,Cardones220,63.8
2025-11-17 05:00:00.000000,Quillota220,62.8
2025-11-17 05:00:00.000000,PAzucar220,62.6
2025-11-17 05:00:00.000000,Charrua220,59.5
2025-11-17 05:00:00.000000,PMontt220,17.5
2025-11-17 06:00:00.000000,Tarapaca220,75.5
2025-11-17 06:00:00.000000,Crucero220,72.0
2025-11-17 06:00:00.000000,Atacama220_BP1,71.7
2025-11-17 06:00:00.000000,Quillota220,70.8
2025-11-17 06:00:00.000000,Cardones220,70.6
2025-11-17 06:00:00.000000,PAzucar220,69.9
2025-11-17 06:00:00.000000,Charrua220,66.7
2025-11-17 06:00:00.000000,PMontt220,26.9
2025-11-17 07:00:00.000000,Quillota220,54.9
2025-11-17 07:00:00.000000,Tarapaca220,52.6
2025-11-17 07:00:00.000000,Charrua220,52.4
2025-11-17 07:00:00.000000,PAzucar220,52.1
2025-11-17 07:00:00.000000,Cardones220,51.0
2025-11-17 07:00:00.000000,Atacama220_BP1,50.9
2025-11-17 07:00:00.000000,Crucero220,50.6
2025-11-17 07:00:00.000000,PMontt220,49.8
2025-11-17 08:00:00.000000,PMontt220,5.1
2025-11-17 08:00:00.000000,Atacama220_BP1,0.0
2025-11-17 08:00:00.000000,Cardones220,0.0
2025-11-17 08:00:00.000000,Charrua220,0.0
2025-11-17 08:00:00.000000,Crucero220,0.0
2025-11-17 08:00:00.000000,PAzucar220,0.0
2025-11-17 08:00:00.000000,Quillota220,0.0
2025-11-17 08:00:00.000000,Tarapaca220,0.0
2025-11-17 09:00:00.000000,PMontt220,4.2
2025-11-17 09:00:00.000000,Atacama220_BP1,0.0
2025-11-17 09:00:00.000000,Cardones220,0.0
2025-11-17 09:00:00.000000,Charrua220,0.0
2025-11-17 09:00:00.000000,Crucero220,0.0
2025-11-17 09:00:00.000000,PAzucar220,0.0
2025-11-17 09:00:00.000000,Quillota220,0.0
2025-11-17 09:00:00.000000,Tarapaca220,0.0
2025-11-17 10:00:00.000000,PMontt220,156.1
2025-11-17 10:00:00.000000,Atacama220_BP1,0.0
2025-11-17 10:00:00.000000,Cardones220,0.0
2025-11-17 10:00:00.000000,Charrua220,0.0
2025-11-17 10:00:00.000000,Crucero220,0.0
2025-11-17 10:00:00.000000,PAzucar220,0.0
2025-11-17 10:00:00.000000,Quillota220,0.0
2025-11-17 10:00:00.000000,Tarapaca220,0.0
2025-11-17 11:00:00.000000,PMontt220,86.5
2025-11-17 11:00:00.000000,Atacama220_BP1,0.0
2025-11-17 11:00:00.000000,Cardones220,0.0
2025-11-17 11:00:00.000000,Charrua220,0.0
2025-11-17 11:00:00.000000,Crucero220,0.0
2025-11-17 11:00:00.000000,PAzucar220,0.0
2025-11-17 11:00:00.000000,Quillota220,0.0
2025-11-17 11:00:00.000000,Tarapaca220,0.0
2025-11-17 12:00:00.000000,PMontt220,128.5
2025-11-17 12:00:00.000000,Atacama220_BP1,0.0
2025-11-17 12:00:00.000000,Cardones220,0.0
2025-11-17 12:00:00.000000,Charrua220,0.0
2025-11-17 12:00:00.000000,Crucero220,0.0
2025-11-17 12:00:00.000000,PAzucar220,0.0
2025-11-17 12:00:00.000000,Quillota220,0.0
2025-11-17 12:00:00.000000,Tarapaca220,0.0
2025-11-17 13:00:00.000000,PMontt220,129.6
2025-11-17 13:00:00.000000,Atacama220_BP1,0.0
2025-11-17 13:00:00.000000,Cardones220,0.0
2025-11-17 13:00:00.000000,Charrua220,0.0
2025-11-17 13:00:00.000000,Crucero220,0.0
2025-11-17 13:00:00.000000,PAzucar220,0.0
2025-11-17 13:00:00.000000,Quillota220,0.0
2025-11-17 13:00:00.000000,Tarapaca220,0.0
2025-11-17 14:00:00.000000,PMontt220,129.4
2025-11-17 14:00:00.000000,Atacama220_BP1,0.0
2025-11-17 14:00:00.000000,Cardones220,0.0
2025-11-17 14:00:00.000000,Charrua220,0.0
2025-11-17 14:00:00.000000,Crucero220,0.0
2025-11-17 14:00:00.000000,PAzucar220,0.0
2025-11-17 14:00:00.000000,Quillota220,0.0
2025-11-17 14:00:00.000000,Tarapaca220,0.0
2025-11-17 15:00:00.000000,PMontt220,130.7
2025-11-17 15:00:00.000000,Atacama220_BP1,0.0
2025-11-17 15:00:00.000000,Cardones220,0.0
2025-11-17 15:00:00.000000,Charrua220,0.0
2025-11-17 15:00:00.000000,Crucero220,0.0
2025-11-17 15:00:00.000000,PAzucar220,0.0
2025-11-17 15:00:00.000000,Quillota220,0.0
2025-11-17 15:00:00.000000,Tarapaca220,0.0
2025-11-17 16:00:00.000000,PMontt220,130.3
2025-11-17 16:00:00.000000,Atacama220_BP1,0.0
2025-11-17 16:00:00.000000,Cardones220,0.0
2025-11-17 16:00:00.000000,Charrua220,0.0
2025-11-17 16:00:00.000000,Crucero220,0.0
2025-11-17 16:00:00.000000,PAzucar220,0.0
2025-11-17 16:00:00.000000,Quillota220,0.0
2025-11-17 16:00:00.000000,Tarapaca220,0.0
2025-11-17 17:00:00.000000,PMontt220,44.4
2025-11-17 17:00:00.000000,Atacama220_BP1,0.0
2025-11-17 17:00:00.000000,Cardones220,0.0
2025-11-17 17:00:00.000000,Charrua220,0.0
2025-11-17 17:00:00.000000,Crucero220,0.0
2025-11-17 17:00:00.000000,PAzucar220,0.0
2025-11-17 17:00:00.000000,Quillota220,0.0
2025-11-17 17:00:00.000000,Tarapaca220,0.0
2025-11-17 18:00:00.000000,PMontt220,41.4
2025-11-17 18:00:00.000000,Quillota220,36.9
2025-11-17 18:00:00.000000,Charrua220,35.8
2025-11-17 18:00:00.000000,PAzucar220,22.3
2025-11-17 18:00:00.000000,Tarapaca220,21.7
2025-11-17 18:00:00.000000,Cardones220,21.5
2025-11-17 18:00:00.000000,Crucero220,20.4
2025-11-17 18:00:00.000000,Atacama220_BP1,20.2
2025-11-17 19:00:00.000000,PMontt220,97.4
2025-11-17 19:00:00.000000,Quillota220,87.4
2025-11-17 19:00:00.000000,Charrua220,84.7
2025-11-17 19:00:00.000000,PAzucar220,81.7
2025-11-17 19:00:00.000000,Tarapaca220,81.1
2025-11-17 19:00:00.000000,Cardones220,79.1
2025-11-17 19:00:00.000000,Crucero220,76.6
2025-11-17 19:00:00.000000,Atacama220_BP1,75.8
2025-11-17 20:00:00.000000,PMontt220,104.0
2025-11-17 20:00:00.000000,Quillota220,92.1
2025-11-17 20:00:00.000000,Tarapaca220,90.2
2025-11-17 20:00:00.000000,Charrua220,89.6
2025-11-17 20:00:00.000000,PAzucar220,88.4
2025-11-17 20:00:00.000000,Cardones220,86.6
2025-11-17 20:00:00.000000,Crucero220,84.5
2025-11-17 20:00:00.000000,Atacama220_BP1,83.6
2025-11-17 21:00:00.000000,PMontt220,103.5
2025-11-17 21:00:00.000000,Quillota220,92.1
2025-11-17 21:00:00.000000,Tarapaca220,90.8
2025-11-17 21:00:00.000000,Charrua220,89.3
2025-11-17 21:00:00.000000,PAzucar220,88.7
2025-11-17 21:00:00.000000,Cardones220,87.1
2025-11-17 21:00:00.000000,Crucero220,85.1
2025-11-17 21:00:00.000000,Atacama220_BP1,84.1
2025-11-17 22:00:00.000000,Tarapaca220,95.4
2025-11-17 22:00:00.000000,PMontt220,94.0
2025-11-17 22:00:00.000000,Quillota220,92.0
2025-11-17 22:00:00.000000,PAzucar220,90.5
2025-11-17 22:00:00.000000,Cardones220,89.9
2025-11-17 22:00:00.000000,Crucero220,89.7
2025-11-17 22:00:00.000000,Charrua220,88.9
2025-11-17 22:00:00.000000,Atacama220_BP1,88.8
2025-11-17 23:00:00.000000,PMontt220,142.7
2025-11-17 23:00:00.000000,Tarapaca220,99.7
2025-11-17 23:00:00.000000,Crucero220,93.8
2025-11-17 23:00:00.000000,Atacama220_BP1,92.7
2025-11-17 23:00:00.000000,Cardones220,92.3
2025-11-17 23:00:00.000000,Quillota220,92.1
2025-11-17 23:00:00.000000,PAzucar220,92.1
2025-11-17 23:00:00.000000,Charrua220,89.4
2025-11-18 00:00:00.000000,Tarapaca220,96.8
2025-11-18 00:00:00.000000,PMontt220,96.6
2025-11-18 00:00:00.000000,Crucero220,91.8
2025-11-18 00:00:00.000000,Atacama220_BP1,90.5
2025-11-18 00:00:00.000000,Cardones220,90.2
2025-11-18 00:00:00.000000,PAzucar220,89.6
2025-11-18 00:00:00.000000,Quillota220,89.2
2025-11-18 00:00:00.000000,Charrua220,85.8
2025-11-18 01:00:00.000000,Tarapaca220,98.4
2025-11-18 01:00:00.000000,PMontt220,95.7
2025-11-18 01:00:00.000000,Crucero220,93.2
2025-11-18 01:00:00.000000,Atacama220_BP1,92.0
2025-11-18 01:00:00.000000,Cardones220,91.3
2025-11-18 01:00:00.000000,PAzucar220,90.3
2025-11-18 01:00:00.000000,Quillota220,89.5
2025-11-18 01:00:00.000000,Charrua220,86.4
2025-11-18 02:00:00.000000,Tarapaca220,92.2
2025-11-18 02:00:00.000000,PMontt220,89.2
2025-11-18 02:00:00.000000,Crucero220,87.4
2025-11-18 02:00:00.000000,Atacama220_BP1,86.0
2025-11-18 02:00:00.000000,Cardones220,85.4
2025-11-18 02:00:00.000000,PAzucar220,84.5
2025-11-18 02:00:00.000000,Quillota220,83.8
2025-11-18 02:00:00.000000,Charrua220,81.2
2025-11-18 03:00:00.000000,Tarapaca220,88.7
2025-11-18 03:00:00.000000,PMontt220,85.8
2025-11-18 03:00:00.000000,Crucero220,84.2
2025-11-18 03:00:00.000000,Atacama220_BP1,82.8
2025-11-18 03:00:00.000000,Cardones220,82.1
2025-11-18 03:00:00.000000,PAzucar220,81.3
2025-11-18 03:00:00.000000,Quillota220,80.7
2025-11-18 03:00:00.000000,Charrua220,78.2
2025-11-18 04:00:00.000000,Tarapaca220,87.8
2025-11-18 04:00:00.000000,PMontt220,86.0
2025-11-18 04:00:00.000000,Crucero220,83.2
2025-11-18 04:00:00.000000,Atacama220_BP1,81.7
2025-11-18 04:00:00.000000,Cardones220,81.4
2025-11-18 04:00:00.000000,PAzucar220,80.8
2025-11-18 04:00:00.000000,Quillota220,80.6
2025-11-18 04:00:00.000000,Charrua220,78.1
2025-11-18 05:00:00.000000,Tarapaca220,90.5
2025-11-18 05:00:00.000000,PMontt220,89.0
2025-11-18 05:00:00.000000,Crucero220,85.8
2025-11-18 05:00:00.000000,Atacama220_BP1,84.6
2025-11-18 05:00:00.000000,Cardones220,83.9
2025-11-18 05:00:00.000000,Quillota220,83.3
2025-11-18 05:00:00.000000,PAzucar220,83.3
2025-11-18 05:00:00.000000,Charrua220,80.8
