Fecha Hora,Barra,Costo Marginal [USD/MWh]
2025-09-04 00:00:00.000000,Tarapaca220,100.6
2025-09-04 00:00:00.000000,Crucero220,93.4
2025-09-04 00:00:00.000000,Atacama220_BP1,90.0
2025-09-04 00:00:00.000000,Cardones220,72.9
2025-09-04 00:00:00.000000,PAzucar220,71.9
2025-09-04 00:00:00.000000,Quillota220,71.6
2025-09-04 00:00:00.000000,Charrua220,68.5
2025-09-04 00:00:00.000000,PMontt220,0.0
2025-09-04 01:00:00.000000,Tarapaca220,101.9
2025-09-04 01:00:00.000000,Crucero220,94.5
2025-09-04 01:00:00.000000,Atacama220_BP1,91.1
2025-09-04 01:00:00.000000,Cardones220,73.7
2025-09-04 01:00:00.000000,PAzucar220,72.5
2025-09-04 01:00:00.000000,Quillota220,71.8
2025-09-04 01:00:00.000000,Charrua220,68.8
2025-09-04 01:00:00.000000,PMontt220,0.0
2025-09-04 02:00:00.000000,Tarapaca220,102.0
2025-09-04 02:00:00.000000,Crucero220,94.8
2025-09-04 02:00:00.000000,Atacama220_BP1,91.3
2025-09-04 02:00:00.000000,Cardones220,73.8
2025-09-04 02:00:00.000000,PAzucar220,72.6
2025-09-04 02:00:00.000000,Quillota220,71.7
2025-09-04 02:00:00.000000,Charrua220,68.9
2025-09-04 02:00:00.000000,PMontt220,0.0
2025-09-04 03:00:00.000000,Tarapaca220,102.4
2025-09-04 03:00:00.000000,Crucero220,95.4
2025-09-04 03:00:00.000000,Atacama220_BP1,91.9
2025-09-04 03:00:00.000000,Cardones220,74.3
2025-09-04 03:00:00.000000,PAzucar220,73.0
2025-09-04 03:00:00.000000,Quillota220,71.8
2025-09-04 03:00:00.000000,Charrua220,68.8
2025-09-04 03:00:00.000000,PMontt220,0.0
2025-09-04 04:00:00.000000,Tarapaca220,102.0
2025-09-04 04:00:00.000000,Crucero220,95.0
2025-09-04 04:00:00.000000,Atacama220_BP1,91.3
2025-09-04 04:00:00.000000,Cardones220,74.1
2025-09-04 04:00:00.000000,PAzucar220,72.9
2025-09-04 04:00:00.000000,Quillota220,71.7
2025-09-04 04:00:00.000000,Charrua220,68.9
2025-09-04 04:00:00.000000,PMontt220,0.0
2025-09-04 05:00:00.000000,Tarapaca220,102.0
2025-09-04 05:00:00.000000,Crucero220,95.1
2025-09-04 05:00:00.000000,Atacama220_BP1,91.4
2025-09-04 05:00:00.000000,Cardones220,74.2
2025-09-04 05:00:00.000000,PAzucar220,73.0
2025-09-04 05:00:00.000000,Quillota220,71.7
2025-09-04 05:00:00.000000,Charrua220,68.5
2025-09-04 05:00:00.000000,PMontt220,0.0
2025-09-04 06:00:00.000000,Tarapaca220,100.9
2025-09-04 06:00:00.000000,Crucero220,93.8
2025-09-04 06:00:00.000000,Atacama220_BP1,90.3
2025-09-04 06:00:00.000000,Cardones220,73.6
2025-09-04 06:00:00.000000,PAzucar220,72.8
2025-09-04 06:00:00.000000,Quillota220,71.9
2025-09-04 06:00:00.000000,Charrua220,68.1
2025-09-04 06:00:00.000000,PMontt220,0.0
2025-09-04 07:00:00.000000,Tarapaca220,75.3
2025-09-04 07:00:00.000000,Atacama220_BP1,73.0
2025-09-04 07:00:00.000000,Quillota220,72.0
2025-09-04 07:00:00.000000,Crucero220,71.0
2025-09-04 07:00:00.000000,PAzucar220,71.0
2025-09-04 07:00:00.000000,Cardones220,70.4
2025-09-04 07:00:00.000000,Charrua220,68.9
2025-09-04 07:00:00.000000,PMontt220,2.9
2025-09-04 08:00:00.000000,Quillota220,59.1
2025-09-04 08:00:00.000000,Charrua220,58.2
2025-09-04 08:00:00.000000,PAzucar220,54.4
2025-09-04 08:00:00.000000,Tarapaca220,51.1
2025-09-04 08:00:00.000000,Cardones220,50.6
2025-09-04 08:00:00.000000,Atacama220_BP1,50.1
2025-09-04 08:00:00.000000,Crucero220,49.0
2025-09-04 08:00:00.000000,PMontt220,2.9
2025-09-04 09:00:00.000000,Quillota220,20.7
2025-09-04 09:00:00.000000,Charrua220,20.1
2025-09-04 09:00:00.000000,PAzucar220,18.8
2025-09-04 09:00:00.000000,Tarapaca220,17.8
2025-09-04 09:00:00.000000,Cardones220,17.6
2025-09-04 09:00:00.000000,Atacama220_BP1,17.5
2025-09-04 09:00:00.000000,Crucero220,17.2
2025-09-04 09:00:00.000000,PMontt220,3.1
2025-09-04 10:00:00.000000,Quillota220,24.9
2025-09-04 10:00:00.000000,Charrua220,24.5
2025-09-04 10:00:00.000000,PMontt220,23.8
2025-09-04 10:00:00.000000,PAzucar220,20.3
2025-09-04 10:00:00.000000,Tarapaca220,18.9
2025-09-04 10:00:00.000000,Cardones220,18.8
2025-09-04 10:00:00.000000,Atacama220_BP1,18.6
2025-09-04 10:00:00.000000,Crucero220,18.2
2025-09-04 11:00:00.000000,PMontt220,22.2
2025-09-04 11:00:00.000000,Quillota220,20.9
2025-09-04 11:00:00.000000,Charrua220,20.3
2025-09-04 11:00:00.000000,PAzucar220,18.8
2025-09-04 11:00:00.000000,Tarapaca220,17.9
2025-09-04 11:00:00.000000,Cardones220,17.7
2025-09-04 11:00:00.000000,Atacama220_BP1,17.7
2025-09-04 11:00:00.000000,Crucero220,17.3
2025-09-04 12:00:00.000000,PMontt220,21.8
2025-09-04 12:00:00.000000,Quillota220,20.5
2025-09-04 12:00:00.000000,Charrua220,20.0
2025-09-04 12:00:00.000000,PAzucar220,18.6
2025-09-04 12:00:00.000000,Tarapaca220,17.9
2025-09-04 12:00:00.000000,Atacama220_BP1,17.7
2025-09-04 12:00:00.000000,Cardones220,17.5
2025-09-04 12:00:00.000000,Crucero220,17.3
2025-09-04 13:00:00.000000,PMontt220,16.2
2025-09-04 13:00:00.000000,Quillota220,14.9
2025-09-04 13:00:00.000000,Charrua220,14.7
2025-09-04 13:00:00.000000,PAzucar220,12.5
2025-09-04 13:00:00.000000,Tarapaca220,12.0
2025-09-04 13:00:00.000000,Atacama220_BP1,11.8
2025-09-04 13:00:00.000000,Cardones220,11.7
2025-09-04 13:00:00.000000,Crucero220,11.6
2025-09-04 14:00:00.000000,PMontt220,16.2
2025-09-04 14:00:00.000000,Quillota220,15.1
2025-09-04 14:00:00.000000,Charrua220,14.7
2025-09-04 14:00:00.000000,PAzucar220,13.5
2025-09-04 14:00:00.000000,Tarapaca220,12.8
2025-09-04 14:00:00.000000,Cardones220,12.7
2025-09-04 14:00:00.000000,Atacama220_BP1,12.6
2025-09-04 14:00:00.000000,Crucero220,12.4
2025-09-04 15:00:00.000000,PMontt220,16.7
2025-09-04 15:00:00.000000,Quillota220,15.1
2025-09-04 15:00:00.000000,Charrua220,15.1
2025-09-04 15:00:00.000000,PAzucar220,10.0
2025-09-04 15:00:00.000000,Cardones220,9.0
2025-09-04 15:00:00.000000,Tarapaca220,8.9
2025-09-04 15:00:00.000000,Atacama220_BP1,8.8
2025-09-04 15:00:00.000000,Crucero220,8.6
2025-09-04 16:00:00.000000,PMontt220,24.6
2025-09-04 16:00:00.000000,Quillota220,23.1
2025-09-04 16:00:00.000000,Charrua220,22.8
2025-09-04 16:00:00.000000,PAzucar220,16.4
2025-09-04 16:00:00.000000,Cardones220,15.0
2025-09-04 16:00:00.000000,Tarapaca220,14.9
2025-09-04 16:00:00.000000,Atacama220_BP1,14.7
2025-09-04 16:00:00.000000,Crucero220,14.5
2025-09-04 17:00:00.000000,Quillota220,63.2
2025-09-04 17:00:00.000000,Charrua220,61.8
2025-09-04 17:00:00.000000,PAzucar220,58.8
2025-09-04 17:00:00.000000,Tarapaca220,57.6
2025-09-04 17:00:00.000000,Atacama220_BP1,55.5
2025-09-04 17:00:00.000000,Cardones220,55.2
2025-09-04 17:00:00.000000,Crucero220,54.5
2025-09-04 17:00:00.000000,PMontt220,25.4
2025-09-04 18:00:00.000000,Tarapaca220,155.2
2025-09-04 18:00:00.000000,Crucero220,143.9
2025-09-04 18:00:00.000000,Atacama220_BP1,126.6
2025-09-04 18:00:00.000000,Cardones220,77.3
2025-09-04 18:00:00.000000,Quillota220,77.2
2025-09-04 18:00:00.000000,PAzucar220,76.9
2025-09-04 18:00:00.000000,Charrua220,73.4
2025-09-04 18:00:00.000000,PMontt220,24.7
2025-09-04 19:00:00.000000,Tarapaca220,159.7
2025-09-04 19:00:00.000000,Crucero220,147.1
2025-09-04 19:00:00.000000,Atacama220_BP1,131.1
2025-09-04 19:00:00.000000,Quillota220,86.3
2025-09-04 19:00:00.000000,Cardones220,85.9
2025-09-04 19:00:00.000000,PAzucar220,85.8
2025-09-04 19:00:00.000000,Charrua220,81.8
2025-09-04 19:00:00.000000,PMontt220,34.7
2025-09-04 20:00:00.000000,Tarapaca220,160.3
2025-09-04 20:00:00.000000,Crucero220,147.8
2025-09-04 20:00:00.000000,Atacama220_BP1,132.9
2025-09-04 20:00:00.000000,Quillota220,88.6
2025-09-04 20:00:00.000000,Cardones220,88.5
2025-09-04 20:00:00.000000,PAzucar220,88.4
2025-09-04 20:00:00.000000,Charrua220,84.0
2025-09-04 20:00:00.000000,PMontt220,76.3
2025-09-04 21:00:00.000000,Tarapaca220,161.6
2025-09-04 21:00:00.000000,Crucero220,149.0
2025-09-04 21:00:00.000000,Atacama220_BP1,133.4
2025-09-04 21:00:00.000000,Cardones220,86.8
2025-09-04 21:00:00.000000,PAzucar220,86.5
2025-09-04 21:00:00.000000,Quillota220,86.3
2025-09-04 21:00:00.000000,PMontt220,84.2
2025-09-04 21:00:00.000000,Charrua220,81.7
2025-09-04 22:00:00.000000,Tarapaca220,162.8
2025-09-04 22:00:00.000000,Crucero220,150.1
2025-09-04 22:00:00.000000,Atacama220_BP1,134.3
2025-09-04 22:00:00.000000,Cardones220,87.2
2025-09-04 22:00:00.000000,PAzucar220,86.7
2025-09-04 22:00:00.000000,Quillota220,86.2
2025-09-04 22:00:00.000000,PMontt220,85.1
2025-09-04 22:00:00.000000,Charrua220,81.6
2025-09-04 23:00:00.000000,Tarapaca220,164.9
2025-09-04 23:00:00.000000,Crucero220,152.3
2025-09-04 23:00:00.000000,Atacama220_BP1,135.6
2025-09-04 23:00:00.000000,Cardones220,86.3
2025-09-04 23:00:00.000000,PAzucar220,85.5
2025-09-04 23:00:00.000000,Quillota220,84.5
2025-09-04 23:00:00.000000,PMontt220,83.7
2025-09-04 23:00:00.000000,Charrua220,80.0
2025-09-05 00:00:00.000000,Tarapaca220,167.6
2025-09-05 00:00:00.000000,Crucero220,155.2
2025-09-05 00:00:00.000000,Atacama220_BP1,135.4
2025-09-05 00:00:00.000000,Cardones220,80.6
2025-09-05 00:00:00.000000,PAzucar220,79.9
2025-09-05 00:00:00.000000,Quillota220,79.1
2025-09-05 00:00:00.000000,PMontt220,76.9
2025-09-05 00:00:00.000000,Charrua220,75.0
2025-09-05 01:00:00.000000,Tarapaca220,167.7
2025-09-05 01:00:00.000000,Crucero220,155.1
2025-09-05 01:00:00.000000,Atacama220_BP1,132.2
2025-09-05 01:00:00.000000,Cardones220,71.5
2025-09-05 01:00:00.000000,PAzucar220,70.8
2025-09-05 01:00:00.000000,Quillota220,70.2
2025-09-05 01:00:00.000000,PMontt220,68.3
2025-09-05 01:00:00.000000,Charrua220,66.8
2025-09-05 02:00:00.000000,Tarapaca220,167.4
2025-09-05 02:00:00.000000,Crucero220,155.0
2025-09-05 02:00:00.000000,Atacama220_BP1,132.0
2025-09-05 02:00:00.000000,Cardones220,71.4
2025-09-05 02:00:00.000000,PAzucar220,70.8
2025-09-05 02:00:00.000000,Quillota220,70.0
2025-09-05 02:00:00.000000,PMontt220,67.4
2025-09-05 02:00:00.000000,Charrua220,67.0
2025-09-05 03:00:00.000000,Tarapaca220,167.5
2025-09-05 03:00:00.000000,Crucero220,155.6
2025-09-05 03:00:00.000000,Atacama220_BP1,132.5
2025-09-05 03:00:00.000000,Cardones220,71.8
2025-09-05 03:00:00.000000,PAzucar220,71.1
2025-09-05 03:00:00.000000,Quillota220,70.3
2025-09-05 03:00:00.000000,PMontt220,67.7
2025-09-05 03:00:00.000000,Charrua220,67.4
2025-09-05 04:00:00.000000,Tarapaca220,167.6
2025-09-05 04:00:00.000000,Crucero220,155.6
2025-09-05 04:00:00.000000,Atacama220_BP1,132.4
2025-09-05 04:00:00.000000,Cardones220,71.7
2025-09-05 04:00:00.000000,PAzucar220,70.9
2025-09-05 04:00:00.000000,Quillota220,70.0
2025-09-05 04:00:00.000000,PMontt220,67.1
2025-09-05 04:00:00.000000,Charrua220,67.1
2025-09-05 05:00:00.000000,Tarapaca220,167.3
2025-09-05 05:00:00.000000,Crucero220,155.5
2025-09-05 05:00:00.000000,Atacama220_BP1,132.3
2025-09-05 05:00:00.000000,Cardones220,71.6
2025-09-05 05:00:00.000000,PAzucar220,70.9
2025-09-05 05:00:00.000000,Quillota220,70.0
2025-09-05 05:00:00.000000,Charrua220,66.9
2025-09-05 05:00:00.000000,PMontt220,66.8
2025-09-05 06:00:00.000000,Tarapaca220,166.4
2025-09-05 06:00:00.000000,Crucero220,154.5
2025-09-05 06:00:00.000000,Atacama220_BP1,136.0
2025-09-05 06:00:00.000000,Cardones220,85.2
2025-09-05 06:00:00.000000,PAzucar220,84.6
2025-09-05 06:00:00.000000,Quillota220,83.8
2025-09-05 06:00:00.000000,PMontt220,82.4
2025-09-05 06:00:00.000000,Charrua220,79.7
2025-09-05 07:00:00.000000,PMontt220,78.4
2025-09-05 07:00:00.000000,Tarapaca220,75.1
2025-09-05 07:00:00.000000,Quillota220,74.0
2025-09-05 07:00:00.000000,Atacama220_BP1,72.4
2025-09-05 07:00:00.000000,PAzucar220,72.3
2025-09-05 07:00:00.000000,Charrua220,71.9
2025-09-05 07:00:00.000000,Cardones220,70.9
2025-09-05 07:00:00.000000,Crucero220,70.6
2025-09-05 08:00:00.000000,PMontt220,72.7
2025-09-05 08:00:00.000000,Charrua220,64.6
2025-09-05 08:00:00.000000,Quillota220,63.4
2025-09-05 08:00:00.000000,PAzucar220,58.2
2025-09-05 08:00:00.000000,Tarapaca220,53.8
2025-09-05 08:00:00.000000,Cardones220,52.3
2025-09-05 08:00:00.000000,Atacama220_BP1,52.2
2025-09-05 08:00:00.000000,Crucero220,51.2
2025-09-05 09:00:00.000000,PMontt220,57.2
2025-09-05 09:00:00.000000,Charrua220,49.2
2025-09-05 09:00:00.000000,Quillota220,48.3
2025-09-05 09:00:00.000000,PAzucar220,43.9
2025-09-05 09:00:00.000000,Tarapaca220,39.1
2025-09-05 09:00:00.000000,Atacama220_BP1,38.1
2025-09-05 09:00:00.000000,Crucero220,37.5
2025-09-05 09:00:00.000000,Cardones220,35.9
2025-09-05 10:00:00.000000,PMontt220,68.4
2025-09-05 10:00:00.000000,Charrua220,58.4
2025-09-05 10:00:00.000000,Quillota220,56.3
2025-09-05 10:00:00.000000,PAzucar220,43.7
2025-09-05 10:00:00.000000,Tarapaca220,39.0
2025-09-05 10:00:00.000000,Atacama220_BP1,38.1
2025-09-05 10:00:00.000000,Crucero220,37.4
2025-09-05 10:00:00.000000,Cardones220,36.6
2025-09-05 11:00:00.000000,PMontt220,70.3
2025-09-05 11:00:00.000000,Charrua220,59.8
2025-09-05 11:00:00.000000,Quillota220,57.5
2025-09-05 11:00:00.000000,PAzucar220,42.4
2025-09-05 11:00:00.000000,Tarapaca220,38.6
2025-09-05 11:00:00.000000,Atacama220_BP1,37.7
2025-09-05 11:00:00.000000,Cardones220,37.1
2025-09-05 11:00:00.000000,Crucero220,37.0
2025-09-05 12:00:00.000000,PMontt220,67.6
2025-09-05 12:00:00.000000,Charrua220,51.1
2025-09-05 12:00:00.000000,Quillota220,49.7
2025-09-05 12:00:00.000000,PAzucar220,43.8
2025-09-05 12:00:00.000000,Tarapaca220,38.6
2025-09-05 12:00:00.000000,Atacama220_BP1,37.7
2025-09-05 12:00:00.000000,Crucero220,37.0
2025-09-05 12:00:00.000000,Cardones220,35.1
2025-09-05 13:00:00.000000,PMontt220,60.1
2025-09-05 13:00:00.000000,Charrua220,50.4
2025-09-05 13:00:00.000000,Quillota220,49.1
2025-09-05 13:00:00.000000,PAzucar220,43.6
2025-09-05 13:00:00.000000,Tarapaca220,38.5
2025-09-05 13:00:00.000000,Atacama220_BP1,37.5
2025-09-05 13:00:00.000000,Crucero220,36.9
2025-09-05 13:00:00.000000,Cardones220,34.9
2025-09-05 14:00:00.000000,PMontt220,57.2
2025-09-05 14:00:00.000000,Charrua220,48.9
2025-09-05 14:00:00.000000,Quillota220,47.7
