horizon,auc,precision,recall,f1,threshold
t+1,0.9219072236776099,0.6033898305084746,0.7639484978540773,0.6742424242424242,0.33815366117736945
t+2,0.8831071289225796,0.5527272727272727,0.6523605150214592,0.5984251968503937,0.3083913069349236
t+3,0.83528057243186,0.45340501792114696,0.5429184549356223,0.494140625,0.26650559276887203
t+4,0.8163100579677832,0.46611909650924027,0.4871244635193133,0.47639034627492133,0.36995360234434355
t+5,0.729290103673151,0.2986666666666667,0.721030042918455,0.42237586423632933,0.8221179993485805
t+6,0.7889021654311352,0.37846153846153846,0.5278969957081545,0.44086021505376344,0.3165261430070333
t+7,0.7381611950281477,0.28714859437751006,0.6137339055793991,0.3912448700410397,0.7063352845006898
t+8,0.735143247025648,0.2766839378238342,0.5741935483870968,0.3734265734265734,0.35033067749903
t+9,0.739819222851261,0.2568306010928962,0.6077586206896551,0.36107554417413573,0.275043033829186
t+10,0.7218194390053726,0.26867469879518074,0.4816414686825054,0.34493426140757927,0.26368350411639474
t+11,0.693709608592877,0.3340122199592668,0.354978354978355,0.3441762854144806,0.38980364654302707
t+12,0.7378709973554332,0.28354725787631274,0.525974025974026,0.3684609552691433,0.4812239899859864
t+13,0.7326545050280457,0.25165016501650167,0.6601731601731602,0.3643966547192354,0.39863139879004644
t+14,0.6889594948933471,0.21311475409836064,0.7034632034632035,0.3271263210870659,0.3388621153210895
t+15,0.6985874588014667,0.23095623987034036,0.6168831168831169,0.33608490566037735,0.2680061847233933
t+16,0.70309192536819,0.24539877300613497,0.6060606060606061,0.34934497816593885,0.275652009008053
t+17,0.6972718429430491,0.24523396880415946,0.6125541125541125,0.3502475247524752,0.29572573562833243
t+18,0.7098738917805064,0.26259378349410506,0.5303030303030303,0.35125448028673834,0.2751648779811925
t+19,0.7040534584308902,0.2466607301869991,0.5995670995670995,0.3495268138801262,0.284551773274762
t+20,0.6931755015412602,0.2766497461928934,0.47186147186147187,0.3488,0.35216623863956226
t+21,0.6729840090735032,0.22811671087533156,0.5584415584415584,0.3239171374764595,0.32592503177631205
t+22,0.7066327533253604,0.28419654714475434,0.46320346320346323,0.3522633744855967,0.39561715047702256
t+23,0.6738848322019527,0.2727272727272727,0.5064935064935064,0.35454545454545455,0.5066554026879407
t+24,0.6878224995929276,0.2178883658372562,0.7012987012987013,0.3324781939456131,0.5415174178768644
